
> ultra-svet@0.1.0 parse
> node scripts/parse.mjs

Importing products from https://ultra-svet.com
limit=1000, delay=500ms, concurrency=3, output=products.json
existing=1000, target=1000
scan 850 products, queue 4000: /blok-zovnishnij-vimikach-1-kl-rozetka-zz-chornij-lezard-leto-752-4200-170bap-40976-httpsexamplecomukproduct?page=2
scan 851 products, queue 4000: /blok-naruzhnyj-vyklyuchatel-2-kl-rozetka-b-z-lider-legend-lvr10-799
scan 852 products, queue 4000: /blok-zovnishnij-vimikach-1-kl-rozetka-zz-chornij-lezard-leto-752-4200-170bap-40976-httpsexamplecomukproduct?page=3
scan 855 products, queue 4000: /blok-naruzhnyj-vyklyuchatel-2-kl-rozetka-b-z-lider-legend-lvr10-799?page=2
scan 857 products, queue 4000: /blok-naruzhnyj-vyklyuchatel-2-kl-rozetka-s-z-lider-legend-lvr10-800
scan 860 products, queue 4000: /blok-naruzhnyj-vyklyuchatel-2-kl-rozetka-b-z-lider-legend-lvr10-799?page=3
scan 860 products, queue 4000: /blok-naruzhnyj-vyklyuchatel-2-kl-rozetka-s-z-lider-legend-lvr10-800?page=2
scan 861 products, queue 4000: /blok-zovnishnij-vimikach-2-kl-rozetka-zz-bilij-lezard-leto-752-0200-170bkp-40961-httpsexamplecomukproduct
scan 863 products, queue 4000: /blok-naruzhnyj-vyklyuchatel-2-kl-rozetka-s-z-lider-legend-lvr10-800?page=3
scan 866 products, queue 4000: /blok-zovnishnij-vimikach-2-kl-rozetka-zz-bilij-lezard-leto-752-0200-170bkp-40961-httpsexamplecomukproduct?page=2
scan 870 products, queue 4000: /blok-zovnishnij-vimikach-2-kl-rozetka-zz-bilij-lezard-leto-752-0200-170bkp-40961-httpsexamplecomukproduct?page=3
scan 872 products, queue 4000: /blok-zovnishnii-vymykach-2-kl-rozetka-zz-z-kryshkoiu-bilyi-ip54-lezard-754-0200-101123-34292-httpsexamplecomukproduct
scan 873 products, queue 4000: /blok-zovnishnii-vymykach-2-kl-rozetka-zz-z-kryshkoiu-bilyi-ip54-lezard-754-0200-101123-34292-httpsexamplecomukproduct?page=2
scan 873 products, queue 4000: /blok-zovnishnij-vimikach-2-kl-rozetka-zz-chornij-lezard-leto-752-4200-170bkp-40995-httpsexamplecomukproduct
scan 873 products, queue 4000: /blok-zovnishnii-vymykach-2-kl-rozetka-zz-z-kryshkoiu-bilyi-ip54-lezard-754-0200-101123-34292-httpsexamplecomukproduct?page=3
scan 873 products, queue 4000: /blok-zovnishnij-vimikach-2-kl-rozetka-zz-chornij-lezard-leto-752-4200-170bkp-40995-httpsexamplecomukproduct?page=2
scan 874 products, queue 4000: /blok-nakladnyj-2-j-vymykach-rozetka-z-zazemlennyam-kryshka-siryj-ip54-lemanso-nemo-lmr2411
scan 875 products, queue 4000: /blok-zovnishnij-vimikach-2-kl-rozetka-zz-chornij-lezard-leto-752-4200-170bkp-40995-httpsexamplecomukproduct?page=3
scan 875 products, queue 4000: /blok-nakladnyj-2-j-vymykach-rozetka-z-zazemlennyam-kryshka-siryj-ip54-lemanso-nemo-lmr2411?page=2
scan 875 products, queue 4000: /blok-nakladnij-3-rozetki-s-zazemlennjam-prozori-krishki-bilij-lemanso-magnolija-lmr2014-39731-httpsexamplecomukproduct
scan 875 products, queue 4000: /blok-nakladnyj-2-j-vymykach-rozetka-z-zazemlennyam-kryshka-siryj-ip54-lemanso-nemo-lmr2411?page=3
scan 877 products, queue 4000: /blok-nakladnij-vimikach-2-rozetki-s-zazem-krishki-bilij-lemanso-magnolija-lmr2015-39732-httpsexamplecomukproduct
scan 879 products, queue 4000: /blok-nakladnij-3-rozetki-s-zazemlennjam-prozori-krishki-bilij-lemanso-magnolija-lmr2014-39731-httpsexamplecomukproduct?page=2
scan 881 products, queue 4000: /blok-nakladnij-3-rozetki-s-zazemlennjam-prozori-krishki-bilij-lemanso-magnolija-lmr2014-39731-httpsexamplecomukproduct?page=3
scan 881 products, queue 4000: /blok-nakladnij-vimikach-2-rozetki-s-zazem-krishki-bilij-lemanso-magnolija-lmr2015-39732-httpsexamplecomukproduct?page=2
